branch,manifest_path,manifest_present,manifest_sha256,entries,all_hashes_valid,missing_artifacts,hash_mismatches,unexpected_unmanifested_files,duplicate_manifest_names,severity
capacity_coverage_v1,results/capacity_coverage_v1/result_hashes.json,True,04f0c6822f8ef7dd84d2593cf3b8ed66a63a4141bc5de33a0c70e13b5cd68984,9,True,,,,False,PASS
classifier_family_robustness_v1,results/classifier_family_robustness_v1/result_hashes.json,True,ee8bced4012e894d65b990baa8752ee00cea22d664a86acfd83e55f1329e5e4f,22,True,,,,False,PASS
host_aware_pn_selection_v1,results/host_aware_pn_selection_v1/result_hashes.json,True,fb17605803e1f8c0663001b8c9cc21c013e1251757a12331439928560c91c26f,32,True,,,,False,PASS
message_content_robustness_v1,results/message_content_robustness_v1/result_hashes.json,True,c609e02070205d94939f63e402c2ab8dfa5033a27ad173f3b0d4c88bd21b32ec,26,True,,,,False,PASS
one_codeword_floor_pilot_v1,results/one_codeword_floor_pilot_v1/result_hashes.json,True,6c34f7af934c173b698034cf1e1e0fa1a97a6cee8d864b4e0a1b06a400f2346f,13,True,,,,False,PASS
one_codeword_floor_validation_v1,results/one_codeword_floor_validation_v1/result_hashes.json,True,3c2674cfdb49cf9d06e626aca07f3d215ef5906d844f6d7167cb45c831273c70,32,True,,,,False,PASS
pn_key_robustness_phase2_v1,results/pn_key_robustness_phase2_v1/result_hashes.json,True,1ad48b82f2db3c32ee217a437cd41a6dc7a5b3a93ec8348e8d0132f6f592ac16,39,True,,,,False,PASS
pn_key_robustness_v1,results/pn_key_robustness_v1/result_hashes.json,True,8f4c7e971feda474c5b7dd55350720ca5d510622a540953d532c03d38c7f597a,27,True,,,,False,PASS
